State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
I,1,0,0,0.4,thread_XVveVJA3RdASIe6ghkvZY1Io,1.0,0.192,-0.429,-0.137,0.000,0.000,0.000
I,2,0,0,0.4,thread_rt9X1lM51LYzmqZsQnZ1XJr2,1.0,0.125,-0.226,-0.055,0.222,0.167,0.333
I,2,0,0,0.4,thread_mpbaudO1YYzQhMcGGnKxI2Jf,1.0,0.050,-0.372,-0.168,0.182,0.167,0.200
I,2,0,0,0.4,thread_3i8ZeQoumFs9WEv13ISLu2nc,1.0,0.020,-0.372,-0.182,0.364,0.333,0.400
I,2,0,0,0.4,thread_3Kqjx3rICRfCj2a4tHaAdZaK,1.0,0.027,-0.377,-0.181,0.182,0.167,0.200
I,2,0,0,0.4,thread_MUMGvE9oVEk94pbCp7Dwwuj5,1.0,0.067,-0.367,-0.158,0.800,0.667,1.000
I,2,0,0,0.4,thread_cRrIyR2eURB6Dp70mcyJX93b,1.0,0.020,-0.372,-0.182,0.364,0.333,0.400
I,2,0,0,0.4,thread_9s6xLdQa5YpEySs8Sr1BoFzL,1.0,0.216,0.174,0.196,0.200,0.167,0.250
I,2,0,0,0.4,thread_1Gj3fWMgUX4vmgNDgQJyaebL,1.0,0.107,-0.207,-0.054,0.000,0.000,0.000
I,2,0,0,0.4,thread_M7ihCEz7mdQTSsmFcToyk2Ps,1.0,0.098,-0.215,-0.062,0.500,0.333,1.000
I,2,0,0,0.4,thread_oMufhz52KP0wAbbGfNuhCQnB,1.0,0.096,-0.172,-0.040,0.250,0.167,0.500
I,3,0,0,0.4,thread_B8gP5yd1XZWHYyaD39jp1xiB,1.0,0.050,-0.372,-0.168,0.182,0.167,0.200
I,3,0,0,0.4,thread_GYfEI6q0180vmhDO7DB7fOTI,1.0,0.104,-0.266,-0.087,0.500,0.333,1.000
I,3,0,0,0.4,thread_Szs7VhZwpbrfQXKs9cCAlzAY,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,3,0,0,0.4,thread_3vRq4MIjL1ibQm8Q2UtuI4x6,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,3,0,0,0.4,thread_mJs9RD99gBoHmwdEV1lY8DX8,1.0,0.132,-0.170,-0.022,0.182,0.167,0.200
I,3,0,0,0.4,thread_kQvrpHZDUV5zkSy9cVhbmCKb,1.0,0.089,-0.270,-0.095,0.200,0.167,0.250
I,3,0,0,0.4,thread_5sFxB0VyLoPOCZduxlaKvBAv,1.0,0.055,-0.180,-0.064,0.286,0.167,1.000
I,3,0,0,0.4,thread_TpQtwnZ29UfqsTxooxemuRxj,1.0,0.074,-0.137,-0.032,0.286,0.167,1.000
